ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,PUNTOS_DESERTOR,CATEGORIA
Estudiante 343,2025 - 2026 CI,8.79,7.00,97.43,1,0,7,0.00,0,BAJO
Estudiante 344,2025 - 2026 CI,8.55,7.01,96.86,1,0,7,0.00,0,BAJO
Estudiante 345,2025 - 2026 CI,9.00,7.01,98.29,1,0,7,0.00,0,BAJO
Estudiante 346,2025 - 2026 CI,9.11,7.00,97.43,1,0,7,0.00,0,BAJO
Estudiante 347,2025 - 2026 CI,8.85,7.47,94.71,1,0,7,0.00,0,BAJO
Estudiante 348,2025 - 2026 CI,8.99,7.00,98.57,1,0,7,0.00,0,BAJO
Estudiante 349,2025 - 2026 CI,0.17,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 350,2025 - 2026 CI,8.70,7.10,95.71,1,0,7,0.00,0,BAJO
Estudiante 351,2025 - 2026 CI,8.59,7.58,92.43,1,0,7,0.00,0,BAJO
Estudiante 352,2025 - 2026 CI,9.09,7.71,99.57,1,0,7,0.00,0,BAJO
Estudiante 353,2025 - 2026 CI,3.04,0.00,22.43,1,7,7,1.00,3,DESERTOR
Estudiante 354,2025 - 2026 CI,8.20,7.69,79.50,1,0,4,0.00,0,MEDIO
Estudiante 355,2025 - 2026 CI,9.15,7.55,99.00,1,0,7,0.00,0,BAJO
Estudiante 356,2025 - 2026 CI,8.76,7.01,99.57,1,0,7,0.00,0,BAJO
Estudiante 357,2025 - 2026 CI,8.53,7.19,93.00,1,0,7,0.00,0,BAJO
Estudiante 358,2025 - 2026 CI,9.28,8.30,98.57,1,0,7,0.00,0,BAJO
Estudiante 359,2025 - 2026 CI,8.88,7.27,97.43,1,0,7,0.00,0,BAJO
Estudiante 360,2025 - 2026 CI,9.05,7.21,99.00,1,0,7,0.00,0,BAJO
Estudiante 361,2025 - 2026 CI,9.48,8.52,100.00,1,0,7,0.00,0,BAJO
Estudiante 362,2025 - 2026 CI,9.14,7.03,100.00,1,0,7,0.00,0,BAJO
Estudiante 363,2025 - 2026 CI,9.22,7.22,100.00,1,0,7,0.00,0,BAJO
Estudiante 364,2025 - 2026 CI,9.36,8.09,99.43,1,0,7,0.00,0,BAJO
Estudiante 365,2025 - 2026 CI,9.32,8.00,98.00,1,0,7,0.00,0,BAJO
Estudiante 366,2025 - 2026 CI,9.27,7.35,97.43,1,0,7,0.00,0,BAJO
Estudiante 367,2025 - 2026 CI,9.28,8.42,97.57,1,0,7,0.00,0,BAJO
Estudiante 368,2025 - 2026 CI,1.51,0.00,12.57,1,7,7,1.00,3,DESERTOR
Estudiante 369,2025 - 2026 CI,8.32,7.00,94.86,1,0,7,0.00,0,BAJO
Estudiante 370,2025 - 2026 CI,8.76,5.78,95.14,1,1,7,0.14,0,BAJO
